song_id,speechiness,instrumentalness,key,time signature,acousticness,danceability,energy,loudness,tempo,genre
4L2K7JKseFCBoHMZEAszW0,0.046,0.0,1,3,0.873,0.435,0.155,-8.948,128.532,sad
4VPXFi4vFTtS9wHe6oMQaT,0.0338,0.000122,4,4,0.784,0.485,0.332,-9.244,130.813,sad
22pBf2FVR5WYMcZ1ROSINP,0.042,0.0,2,4,0.55,0.638,0.411,-5.979,96.969,sad
7DFNE7NO0raLIUbgzY2rzm,0.0572,0.0,7,4,0.385,0.509,0.538,-7.335,75.089,sad
1ArLnG0bHaHPXqf08sEKM0,0.0348,0.0,0,3,0.645,0.547,0.289,-8.131,104.851,sad
6mHw0o12JUfDodSxMwp8TI,0.0392,0.397,3,4,0.289,0.554,0.318,-13.288,130.11,sad
27rdGxbavYJeBphck5MZAF,0.0671,1.36e-06,7,4,0.00987,0.601,0.794,-5.844,114.066,sad
3U4isOIWM3VvDubwSI3y7a,0.0322,0.0,8,4,0.922,0.422,0.264,-7.064,119.93,sad
2A8fh9MXaPMv88D8NdGnsM,0.0399,0.0,0,4,0.2,0.715,0.408,-7.475,87.0,sad
4CYBfRX3oEPni9Elqm8Bnt,0.0587,0.0,9,4,0.866,0.512,0.184,-8.812,85.82,sad
4JehYebiI9JE8sR8MisGVb,0.0628,0.0,11,4,0.272,0.508,0.72,-5.908,79.983,sad
1uru26I2JKd2mQZt0MDCUe,0.103,0.0,1,4,0.215,0.404,0.531,-4.328,164.848,sad
4BiiOzZCrXEzHRLYcYFiD5,0.0958,3.6e-06,1,4,0.488,0.773,0.699,-5.982,104.941,sad
1CPNoBoQIc0dgK8MQDyx0T,0.0495,0.0,0,4,0.71,0.668,0.445,-7.195,119.721,sad
14sOS5L36385FJ3OL8hew4,0.0801,0.0,9,4,0.374,0.693,0.575,-6.998,117.999,sad
5NACaWLnFkMDY5c4IUiqml,0.0421,0.0,3,4,0.204,0.702,0.473,-7.499,104.974,sad
4ZLzoOkj0MPWrTLvooIuaa,0.188,0.0,1,4,0.72,0.498,0.235,-16.541,118.917,sad
6lzLjIOyWTyTJvk0jraYee,0.164,7e-06,1,4,0.64,0.545,0.33,-11.719,103.553,sad
1hV75RKxZt8p9C79mQVGgy,0.0294,0.00317,1,4,0.844,0.713,0.451,-9.64,102.972,sad
7wFybC8jBH3zE139OpCtpG,0.0359,0.00133,2,4,0.0863,0.663,0.675,-12.159,101.004,sad
1gs1wX1reGRMb775gtQNCs,0.0314,0.0,8,4,0.0987,0.562,0.517,-6.319,141.819,sad
7vGuf3Y35N4wmASOKLUVVU,0.0853,4.96e-06,4,4,0.256,0.52,0.761,-3.093,141.971,sad
79NlESqzFSW0hdBWgls4FX,0.0302,0.0,10,4,0.48,0.565,0.381,-7.204,73.483,sad
5Z3GHaZ6ec9bsiI5BenrbY,0.0421,1.66e-05,1,4,0.199,0.798,0.539,-6.351,136.949,sad
6Vc5wAMmXdKIAM7WUoEb7N,0.0355,2.89e-06,2,3,0.857,0.407,0.147,-8.822,141.284,sad
6lOWoTqVnAWXchddtTH31W,0.113,1.78e-06,5,4,0.0153,0.586,0.624,-5.946,68.976,sad
52iLDrSoRtf9lcgFuLVfqE,0.0483,0.0,11,4,0.743,0.681,0.292,-9.599,64.002,sad
4JIo8RztBbELr2gWJ5OGK6,0.0504,0.0,9,4,0.259,0.534,0.642,-3.971,92.963,sad
1sYFMF9wb8M6ZoY5C1Eltj,0.028,0.000723,5,4,0.784,0.287,0.292,-8.32,86.736,sad
6xTU6B6nFwKKTSZ9ySXS80,0.0933,0.0,0,4,0.158,0.689,0.505,-6.389,99.017,sad
45Egmo7icyopuzJN0oMEdk,0.0449,0.0,6,4,0.0956,0.708,0.648,-5.626,143.955,sad
7FIcIjKaQJpy0vWWFZMZGH,0.112,6.48e-06,0,4,0.0874,0.538,0.595,-7.398,183.736,sad
4zxBtj8UaieYXPe2JoQETa,0.0435,0.0,2,4,0.165,0.589,0.603,-5.517,76.874,sad
7tMbZ0RGW0jFsBw7ipEPEV,0.0307,4.35e-05,1,4,0.588,0.436,0.473,-7.24,108.906,sad
6mORGLOz79w6VsCRLWYYuK,0.0441,0.277,9,3,0.969,0.443,0.369,-9.514,174.107,sad
5zxwumO0laRosoeOvbVSvc,0.0558,0.0,7,4,0.259,0.799,0.373,-8.999,98.035,sad
5nmHl233yo8XJvaNfdKAWU,0.0348,1.21e-06,0,4,0.399,0.499,0.673,-4.505,121.87,sad
1Pw5C4N6Fn5E4mGCxmbbVa,0.0523,0.0,10,4,0.693,0.4,0.564,-7.444,99.269,sad
6dVa7xk5dOoT6pOkDw1TMH,0.049,0.0,10,4,0.341,0.493,0.636,-5.894,120.136,sad
